actin_filaments,cell_junctions,centrosome,cytoplasmic_bodies,cytoskeleton,cytosol,endoplasmic_reticulum,endosome,endosome_membrane,er_lumen,er_membrane,golgi_apparatus,golgi_lumen,golgi_membrane,lysosome,lysosome_membrane,membrane_proteins,microtubule_organizing_center,midbody,mitochondria,mitochondria_matrix,mitochondrial_membrane,myofibril,nuclear_bodies,nuclear_membrane,nuclear_speckles,nucleolus,nucleoplasm,nucleus,peroxisome,plasma_membrane,secreted,vesicle,vesicle_membrane
Actin cytoplasmic 1,Cell junction,Cytoplasm Cytoskeleton Microtubule organizing center Centrosome,Cytoplasm P-body,Cytoplasm Cytoskeleton,Cytolytic granule,Endoplasmic reticulum,Endosome,Endosome membrane,Endoplasmic reticulum lumen,Endoplasmic reticulum membrane,Golgi apparatus,Golgi apparatus lumen,Golgi apparatus Golgi stack membrane Multi-pass membrane protein,Lysosome,Lysosome membrane,Apical cell membrane Multi-pass membrane protein,Cytoplasm Cytoskeleton Microtubule organizing center,Midbody,Mitochondrion,Mitochondrion intermembrane space,Mitochondrion inner membrane,Cytoplasm Myofibril Sarcomere,Nucleus Cajal body,Nucleus Nuclear pore complex,Nucleus speckle,Nucleus Nucleolus,Chromosome,Nucleus,Peroxisome,Apical cell membrane,Secreted,Cytoplasmic vesicle,Cytoplasmic vesicle Autophagosome membrane
Actin cytoplasmic 2,Cell junction Adherens junction,Cytoplasm Cytoskeleton Microtubule organizing center Centrosome Centriole,,Cytoplasm Cytoskeleton Cilium axoneme,Cytolytic granule membrane,Endoplasmic reticulum-Golgi intermediate compartment membrane,Endosome Multivesicular body,Endosome membrane Multi-pass membrane protein,Sarcoplasmic reticulum lumen,Endoplasmic reticulum membrane Lipid-anchor,Golgi apparatus Cis-Golgi network,,Golgi apparatus Golgi stack membrane Peripheral membrane protein,Lysosome lumen,Lysosome membrane Multi-pass membrane protein,Apical cell membrane Peripheral membrane protein Cytoplasmic side,Cytoplasm Cytoskeleton Microtubule organizing center Spindle pole body,Midbody Midbody ring,,Mitochondrion matrix,Mitochondrion inner membrane Multi-pass membrane protein,Cytoplasm Myofibril Sarcomere M line,Nucleus PML body,Nucleus envelope,,,Chromosome Centromere,Nucleus Gem,Peroxisome matrix,Apical cell membrane Lipid-anchor,Secreted Extracellular exosome,Cytoplasmic vesicle Autophagosome,Cytoplasmic vesicle Autophagosome membrane Lipid-anchor
gamma-enteric smooth muscle,Cell junction Desmosome,,,Cytoplasm Cytoskeleton Cilium basal body,Cytoplasm,Microsome,Early endosome,Endosome membrane Peripheral membrane protein,,Endoplasmic reticulum membrane Lipid-anchor Cytoplasmic side,Golgi apparatus Trans-Golgi network,,Golgi apparatus Golgi stack membrane Single-pass type I membrane protein,Melanosome,Lysosome membrane Peripheral membrane protein,Apical cell membrane Peripheral membrane protein Extracellular side,,,,Mitochondrion matrix Mitochondrion nucleoid,Mitochondrion inner membrane Multi-pass membrane protein Matrix side,Cytoplasm Myofibril Sarcomere Z line,,Nucleus inner membrane,,,Chromosome Centromere Kinetochore,Nucleus intermembrane space,Peroxisome membrane Multi-pass membrane protein,Apical cell membrane Lipid-anchor GPI-anchor,Secreted Extracellular space,Cytoplasmic vesicle Autophagosome lumen,Cytoplasmic vesicle Autophagosome membrane Multi-pass membrane protein
Actin,Cell junction Focal adhesion,,,Cytoplasm Cytoskeleton Flagellum axoneme,Cytoplasm Cell cortex,Rough endoplasmic reticulum,Late endosome,Endosome membrane Single-pass type I membrane protein,,Endoplasmic reticulum-Golgi intermediate compartment,,,Golgi apparatus Golgi stack membrane Single-pass type II membrane protein,,Lysosome membrane Peripheral membrane protein Cytoplasmic side,Apical cell membrane Single-pass type I membrane protein,,,,,Mitochondrion inner membrane Peripheral membrane protein,,,Nucleus inner membrane Multi-pass membrane protein,,,Chromosome Telomere,,Peroxisome membrane Peripheral membrane protein Matrix side,Basal cell membrane,Secreted Extracellular space Extracellular matrix,Cytoplasmic vesicle Clathrin-coated vesicle,Cytoplasmic vesicle Autophagosome membrane Peripheral membrane protein Cytoplasmic side
alpha skeletal muscle,Cell junction Gap junction,,,Cytoplasm Cytoskeleton Spindle,Cytoplasm Cytosol,Sarcoplasmic reticulum,Recycling endosome,Endosome membrane Single-pass type II membrane protein,,Microsome membrane,,,Golgi apparatus Trans-Golgi network membrane,,Lysosome membrane Peripheral membrane protein Lumenal side,Apical cell membrane Single-pass type II membrane protein,,,,,Mitochondrion inner membrane Peripheral membrane protein Intermembrane side,,,Nucleus inner membrane Peripheral membrane protein,,,Nucleus Nucleoplasm,,,Basolateral cell membrane,Secreted Extracellular space Extracellular matrix Basement membrane,Cytoplasmic vesicle Phagosome,Cytoplasmic vesicle COPII-coated vesicle membrane Multi-pass membrane protein
,Cell junction Hemidesmosome,,,Cytoplasm Cytoskeleton Spindle pole,Cytoplasm Perinuclear region,,,Early endosome membrane,,Microsome membrane Lipid-anchor,,,Golgi apparatus Trans-Golgi network membrane Lipid-anchor,,Lysosome membrane Single-pass type I membrane protein,Apicolateral cell membrane Multi-pass membrane protein,,,,,Mitochondrion inner membrane Peripheral membrane protein Matrix side,,,Nucleus lamina,,,Nucleus matrix,,,Basolateral cell membrane Lipid-anchor GPI-like-anchor,Secreted Extracellular space Surface film,Cytoplasmic vesicle Secretory vesicle,Cytoplasmic vesicle Clathrin-coated vesicle membrane
,Cell junction Paranodal septate junction,,,Cytoplasm Cytoskeleton Stress fiber,Cytoplasm Stress granule,,,Early endosome membrane Multi-pass membrane protein,,Endoplasmic reticulum membrane Multi-pass membrane protein,,,Golgi apparatus Trans-Golgi network membrane Multi-pass membrane protein,,Lysosome membrane Single-pass type II membrane protein,Basal cell membrane Multi-pass membrane protein,,,,,Mitochondrion inner membrane Single-pass membrane protein,,,Nucleus membrane,,,,,,Cell membrane,,Cytoplasmic vesicle Secretory vesicle Acrosome,Cytoplasmic vesicle Clathrin-coated vesicle membrane Peripheral membrane protein
,Cell junction Tight junction,,,Dynein axonemal particle,Cytoplasmic granule,,,Early endosome membrane Peripheral membrane protein,,Endoplasmic reticulum membrane Peripheral membrane protein,,,Golgi apparatus Trans-Golgi network membrane Peripheral membrane protein,,Melanosome membrane Multi-pass membrane protein,Basolateral cell membrane Multi-pass membrane protein,,,,,Mitochondrion inner membrane Single-pass membrane protein Matrix side,,,Nucleus membrane Lipid-anchor,,,,,,Cell membrane Lipid-anchor,,Cytoplasmic vesicle Secretory vesicle Chromaffin granule,Cytoplasmic vesicle Clathrin-coated vesicle membrane Single-pass type I membrane protein
,,,,,Inflammasome,,,Early endosome membrane Peripheral membrane protein Cytoplasmic side,,Endoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,,,Golgi apparatus Trans-Golgi network membrane Single-pass type I membrane protein,,Melanosome membrane Peripheral membrane protein Cytoplasmic side,Basolateral cell membrane Peripheral membrane protein,,,,,Mitochondrion membrane,,,Nucleus membrane Multi-pass membrane protein,,,,,,Cell membrane Lipid-anchor Cytoplasmic side,,Cytoplasmic vesicle Secretory vesicle Chromaffin granule lumen,Cytoplasmic vesicle Phagosome membrane
,,,,,Lipid droplet,,,Early endosome membrane Single-pass type I membrane protein,,Endoplasmic reticulum membrane Single-pass membrane protein,,,Golgi apparatus Trans-Golgi network membrane Single-pass type II membrane protein,,Melanosome membrane Single-pass type I membrane protein,Basolateral cell membrane Single-pass type I membrane protein,,,,,Mitochondrion membrane Lipid-anchor,,,Nucleus membrane Peripheral membrane protein,,,,,,Cell membrane Lipid-anchor GPI-anchor,,Cytoplasmic vesicle Secretory vesicle Cortical granule,Cytoplasmic vesicle Phagosome membrane Lipid-anchor Cytoplasmic side
,,,,,,,,Late endosome membrane,,Endoplasmic reticulum membrane Single-pass membrane protein Cytoplasmic side,,,Golgi apparatus membrane,,,Basolateral cell membrane Single-pass type II membrane protein,,,,,Mitochondrion membrane Lipid-anchor GPI-anchor,,,Nucleus membrane Peripheral membrane protein Nucleoplasmic side,,,,,,Cell membrane Lipid-anchor GPI-anchor Extracellular side,,Cytoplasmic vesicle Secretory vesicle lumen,Cytoplasmic vesicle Phagosome membrane Multi-pass membrane protein
,,,,,,,,Late endosome membrane Lipid-anchor,,Endoplasmic reticulum membrane Single-pass type I membrane protein,,,Golgi apparatus membrane Lipid-anchor,,,Cell membrane Multi-pass membrane protein,,,,,Mitochondrion membrane Multi-pass membrane protein,,,Nucleus membrane Single-pass membrane protein,,,,,,Cell membrane Sarcolemma,,Cytoplasmic vesicle lumen,Cytoplasmic vesicle Phagosome membrane Peripheral membrane protein
,,,,,,,,Late endosome membrane Lipid-anchor Cytoplasmic side,,Endoplasmic reticulum membrane Single-pass type II membrane protein,,,Golgi apparatus membrane Lipid-anchor Cytoplasmic side,,,Cell membrane Peripheral membrane protein,,,,,Mitochondrion membrane Peripheral membrane protein,,,Nucleus membrane Single-pass membrane protein Cytoplasmic side,,,,,,Cell membrane Sarcolemma T-tubule,,Zymogen granule,Cytoplasmic vesicle Phagosome membrane Peripheral membrane protein Cytoplasmic side
,,,,,,,,Late endosome membrane Multi-pass membrane protein,,Endoplasmic reticulum membrane Single-pass type III membrane protein,,,Golgi apparatus membrane Multi-pass membrane protein,,,Cell membrane Peripheral membrane protein Cytoplasmic side,,,,,Mitochondrion membrane Single-pass membrane protein,,,Nucleus membrane Single-pass type I membrane protein,,,,,,Membrane,,Zymogen granule lumen,Cytoplasmic vesicle Phagosome membrane Single-pass type I membrane protein
,,,,,,,,Late endosome membrane Peripheral membrane protein,,Endoplasmic reticulum membrane Single-pass type III membrane protein Cytoplasmic side,,,Golgi apparatus membrane Peripheral membrane protein,,,Cell membrane Peripheral membrane protein Extracellular side,,,,,Mitochondrion membrane Single-pass type II membrane protein,,,Nucleus outer membrane,,,,,,Membrane Caveola,,Extracellular vesicle,Cytoplasmic vesicle Secretory vesicle Acrosome membrane Peripheral membrane protein
,,,,,,,,Late endosome membrane Peripheral membrane protein Cytoplasmic side,,Endoplasmic reticulum membrane Single-pass type IV membrane protein,,,Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side,,,Cell membrane Sarcolemma Multi-pass membrane protein,,,,,Mitochondrion membrane Single-pass type IV membrane protein,,,Nucleus outer membrane Multi-pass membrane protein,,,,,,Membrane Caveola Lipid-anchor,,,Cytoplasmic vesicle Secretory vesicle Chromaffin granule membrane Single-pass type II membrane protein
,,,,,,,,Late endosome membrane Single-pass type I membrane protein,,Endoplasmic reticulum membrane Single-pass type IV membrane protein Cytoplasmic side,,,Golgi apparatus membrane Single-pass membrane protein,,,Cell membrane Sarcolemma Peripheral membrane protein,,,,,Mitochondrion outer membrane,,,Nucleus outer membrane Peripheral membrane protein,,,,,,Membrane Caveola Multi-pass membrane protein,,,Cytoplasmic vesicle Secretory vesicle Microneme membrane Multi-pass membrane protein
,,,,,,,,Late endosome membrane Single-pass type II membrane protein,,Endoplasmic reticulum-Golgi intermediate compartment membrane Multi-pass membrane protein,,,Golgi apparatus membrane Single-pass type I membrane protein,,,Cell membrane Sarcolemma Peripheral membrane protein Cytoplasmic side,,,,,Mitochondrion outer membrane Lipid-anchor Cytoplasmic side,,,Nucleus outer membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,Membrane Clathrin-coated pit,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle
,,,,,,,,Recycling endosome membrane,,Microsome membrane Multi-pass membrane protein,,,Golgi apparatus membrane Single-pass type II membrane protein,,,Cell membrane Sarcolemma T-tubule Multi-pass membrane protein,,,,,Mitochondrion outer membrane Multi-pass membrane protein,,,,,,,,,Membrane Coated pit,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane
,,,,,,,,Recycling endosome membrane Lipid-anchor Cytoplasmic side,,Microsome membrane Peripheral membrane protein,,,,,,Cell membrane Single-pass membrane protein,,,,,Mitochondrion outer membrane Peripheral membrane protein,,,,,,,,,Membrane Lipid-anchor,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Multi-pass membrane protein
,,,,,,,,Recycling endosome membrane Multi-pass membrane protein,,Microsome membrane Single-pass membrane protein,,,,,,Cell membrane Single-pass type I membrane protein,,,,,Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,Membrane raft,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Peripheral membrane protein
,,,,,,,,Recycling endosome membrane Peripheral membrane protein,,Microsome membrane Single-pass type II membrane protein,,,,,,Cell membrane Single-pass type I membrane protein Extracellular side,,,,,Mitochondrion outer membrane Single-pass membrane protein,,,,,,,,,Lateral cell membrane,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Single-pass type I membrane protein
,,,,,,,,Recycling endosome membrane Peripheral membrane protein Cytoplasmic side,,Microsome membrane Single-pass type III membrane protein,,,,,,Cell membrane Single-pass type II membrane protein,,,,,Mitochondrion outer membrane Single-pass membrane protein Extracellular side,,,,,,,,,Lateral cell membrane Multi-pass membrane protein,,,Cytoplasmic vesicle Secretory vesicle membrane Multi-pass membrane protein
,,,,,,,,Recycling endosome membrane Single-pass type I membrane protein,,Microsome membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,Cell membrane Single-pass type II membrane protein Extracellular side,,,,,Mitochondrion outer membrane Single-pass type II membrane protein,,,,,,,,,Postsynapse,,,Cytoplasmic vesicle Secretory vesicle membrane Single-pass membrane protein
,,,,,,,,,,Rough endoplasmic reticulum membrane Multi-pass membrane protein,,,,,,Cell membrane Single-pass type III membrane protein,,,,,Mitochondrion outer membrane Single-pass type III membrane protein,,,,,,,,,Postsynaptic cell membrane,,,Cytoplasmic vesicle Secretory vesicle membrane Single-pass type II membrane protein
,,,,,,,,,,Rough endoplasmic reticulum membrane Peripheral membrane protein,,,,,,Membrane Multi-pass membrane protein,,,,,Mitochondrion outer membrane Single-pass type IV membrane protein,,,,,,,,,Postsynaptic density,,,Cytoplasmic vesicle membrane
,,,,,,,,,,Smooth endoplasmic reticulum membrane Single-pass membrane protein,,,,,,Membrane Peripheral membrane protein,,,,,Mitochondrion outer membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,,,,Postsynaptic density membrane,,,Cytoplasmic vesicle membrane Lipid-anchor
,,,,,,,,,,Sarcoplasmic reticulum membrane,,,,,,Membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,,,,,,Preautophagosomal structure,,,Cytoplasmic vesicle membrane Lipid-anchor Cytoplasmic side
,,,,,,,,,,Sarcoplasmic reticulum membrane Lipid-anchor GPI-anchor,,,,,,Membrane Single-pass membrane protein,,,,,,,,,,,,,,Presynapse,,,Cytoplasmic vesicle membrane Multi-pass membrane protein
,,,,,,,,,,Sarcoplasmic reticulum membrane Multi-pass membrane protein,,,,,,Membrane Single-pass type I membrane protein,,,,,,,,,,,,,,Presynaptic active zone,,,Cytoplasmic vesicle membrane Peripheral membrane protein
,,,,,,,,,,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,,,,,,Membrane Single-pass type I membrane protein Extracellular side,,,,,,,,,,,,,,Presynaptic cell membrane,,,Cytoplasmic vesicle membrane Peripheral membrane protein Cytoplasmic side
,,,,,,,,,,Sarcoplasmic reticulum membrane Single-pass type II membrane protein,,,,,,Membrane Single-pass type II membrane protein,,,,,,,,,,,,,,Presynaptic cell membrane Lipid-anchor,,,Cytoplasmic vesicle membrane Single-pass type I membrane protein
,,,,,,,,,,,,,,,,Membrane Single-pass type III membrane protein,,,,,,,,,,,,,,,,,Zymogen granule membrane Peripheral membrane protein
,,,,,,,,,,,,,,,,Membrane raft Peripheral membrane protein Extracellular side,,,,,,,,,,,,,,,,,Extracellular vesicle membrane Lipid-anchor GPI-anchor
,,,,,,,,,,,,,,,,Membrane raft Single-pass type I membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Single-pass type I membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic density membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Presynaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Synaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Target cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
